Event,Event Description
A00,> Text &9&9&9&9&4 line &4 event &9&9
A01,Message SY&4(&9&9&9&3)
A02,Program buffer re-initialized
A03,Breakpoint &9&9&9&9&4 reached
A04,Invalid load format for &9&9&9&9&4
A05,No memory available
A06,Message SY&4(&9&9&9&3)
A07,Timeout
A08,Main memory destroyed
A09,Too many dependencies for &9&9&9&9&4.
A10,Initialization complete
A11,PXA recovery after reboot
A12,>>> Emergency installation <<<
A13,> Generation of program text &4&9&9&9&9 line &4
A14,"> in program &4&9&9&9&9, line &4, event &2&9&9"
A15,Runtime error &9&9&5 in program &4&9&9&9&9.
A16,Error &9&9&5 generating program &4&9&9&9&9.
A17,> &6&4&6&4&6&4&6&4&6&4&6&4&4
A18,C debugging activated
A19,Field contents changed: &5&9&9&9&9&9
A20,> Error code $$$$$$$$$$$$$$$$$$$$
A21,Shared Memory for PXA buffer not available
A22,SORT ... AS TEXT error occurred in table row &4
A23,Goto ABAP Debugger: &9&9&9&9
A24,System time: Cannot go back (< 3 sec.). Wait &4 second(s)
A25,PXA directory GC triggered for fragment &A: &B entries were reclaimed
A26,A manually caught process was stopped from within the Debugger (&A)
A27,Database table &5&5&5&5&5&5 not found for READ TABLE
A28,DB &8 executed on explicit request from the debugger
A29,"System time: Cannot go back (> 2 sec.). Use last ""valid"" time"
A30,System time: Cannot be synchronized with the time of the database server.
A31,Problems detected in the prerequisites for AMDP (see following statements)
A33,Runtime Monitor deactivated itself due to an error.
A34,Problem state occurred in Runtime Monitor.
A35,iXML: DTD parsing attempted but forbidden by configuration
A36,iXML: DTD expansion exceeds valid limit
AB0,"Runtime error ""&a&b&c"" occurred."
AB1,"> Short dump ""&6 &6 &8&8&8&8 &6&6"" created."
AB2,> Include &8&8&8&8&8 line &4.
AB3,Error &8&8&7 in error handling.
AB4,Saving PXA statistics (&&&&& programs).
AB5,Open error for PXA statistics file (error no. &>E5).
AB6,User &6&6 forced regeneration of all ABAP programs.
AB7,Error when ending an internal mode.
AB8,A pipe was closed implicitly.
AB9,Invalid handler 0x&A for signal SIGCHLD.
ABD,Short dump deleted with default tool &A
AC0,Invalid Print Parameters
AC1,
AD0,Checkpoint Group &A Activated for All Users and Servers (&B)
AD1,Checkpoint Group &A Activated for All Users and Servers &B (&C)
AD2,Checkpoint Group &A Activated for All Users &B and Servers (&C)
AD3,All Activations for Assertions and Breakpoints that Can Be Activated Deleted
AD4,Activatable Assertions: System Variant &A Activated for All Users
AD5,Activatable Assertions: System Variant &A Activated for User &B
AD6,Activatable Assertions: System Variant &A Activated for Server &B
AI1,User &A confirmed no transport request is required for &B
AIX,&A &B &C &D
AL1,ArchiveLink: &70
AM0,> &a&b
AM1,Database error &a in access to &b
AM2,Database error &a in call to procedure &b.
AM3,Database error &a in insert to AMDP transfer table &b.
AS0,SYNC:&A->&B: &C &D &E
AS1,SYNC:&A->&B: &C &D &E
AS2,SYNC:&A->&B: &C &D &E
AS3,SYNC:&A:&B
AS4,SYNC:&A:&B
AS5,SYNC:&A:&B
AS6,SYNC:&A
AT0,Local correction of item &a type &b performed by user &c
AT1,Local correction of item &a type &b enabled by user &c
AU0,Audit - Test. Text: &A
AU1,"Logon successful (type=&A, method=&C)"
AU2,"Logon failed (reason=&B, type=&A, method=&C)"
AU3,Transaction &A started.
