TCode,TCode Description
/SSF/AB,Analysis browser & Download
/SSF/PB,Project browser & test environment
CONF_UNINST,Configure Add-On Uninstallations
FITP_SETTINGS,Settings for Travel Planning
QD35,Delete job overview for Q-levels
QDA1,Edit Sampling Type
QDA3,Display Sampling Type
QDB1,Maintain allowed relationships
QDB3,Display allowed relationships
QDH1,Q-Level Evaluation: Change Data
QDH2,Q-Level Evaluation: Display Data
QDL1,Create Quality Level
QDL2,Change quality level
QDL3,Display Quality Level
QDM1,Edit Valuation Mode
QDM3,Display Valuation Mode
QDP1,Create Sampling Scheme
QDP2,Change Sampling Scheme
QDP3,Display Sampling Scheme
QDR1,Create Dynamic Modification Rule
QDR2,Change Dynamic Modification Rule
QDR3,Display dynamic modification rule
QDR6,Disp. Where-Used List-Dyn. Mod. Rule
QDR7,Replace Dynamic Mod. Rule Used
QDV1,Create sampling procedure
QDV2,Change sampling procedure
QDV3,Display sampling procedure
QDV6,Uses: Sampling procedures
QDV7,Replace sampling procedure used
QE00,Quality Planning
QE01,Record Characteristic Results
QE02,Change Characteristic Results
QE03,Display Characteristic Results
QE04,Record Sample Results
QE05,Change Sample Results
QE06,Display Sample Results
QE09,Individual Display of Charc Result
QE11,Record results for inspection point
QE12,Change Results for Inspection Point
QE13,Display Results for Inspection Point
QE14,Record results for delivery note
QE15,Change Results for Delivery Note
QE16,Display Results for Delivery Note
QE17,Record Results for Equipment
QE18,Change Results for Equipment
QE19,Display Results for Equipment
QE20,Record Results for Funct. Location
QE21,Change Results for Funct. Location
QE22,Display Results for Funct. Location
QE23,Record Results for Material Sample
QE24,Change Results for Material Sample
QE25,Display Results for Material Sample
QE29,No. Range Maint.: Conf. No. for Char
QE51N,Results Recording Worklist
QE52,Worklist: Material Sample Results
QE53,Worklist: Record results for equip.
QE54,Worklist: Results for funct. loctns
QE71,Tabular Res. Recording for Insp. Pts
QE72,Tabular Results Rec. for Insp. Lots
QE73,Tabular Results Recording for Charcs
QEDS,Signature Process
QEI1,Displaying QM Interfaces Appl. Log
QEI2,Deleting QM Interfaces Appl. Log
QF01,Record Defect Data
QF02,Change Defect Data
QF03,Display Defect Data
QF11,Record Defects for Inspection Lot
QF21,Record Defects for Operation
QF31,Record Defects for Characteristic
QF4,Available queries
QF41_WD,Record Defects for Charc/Insp. Point
QG09,Maint. num. range Q control charts
QGA1,Display Quality Score Timeline
QGA2,Display Inspection Results
QGA3,Print Inspection Results
QGA4,General QM Evaluations
QGC1,Qual. Control Charts for Insp. Lots
QGC2,Control Charts for Bill of Op. Charc
QGC3,Control Charts for Master Insp. Char
QGD1,Test Equipment Usage List
QGD2,Test Equipment Tracking
QGEN,Derive Qualifications
QGP1,Results History for Task List Charc
QGP2,Results History for Task List Charac
QI01,Create Q-Info Record - Purchasing
QI02,Change Q-Info Record - Purchasing
QI03,Display Q-Info Record - Purchasing
